"","e_","site_","sigle","name","iscore","issect","isssamp","descriptor","hasanlam","entloc","localveg","coll_","sampdate","depthatloc","icethickcm","sampdevice","corediamcm","c14depthadj","notes","site_","sitename","sitecode","siteexists","poldiv1","poldiv2","poldiv3","latdeg","latmin","latsec","latns","latdd","latdms","londeg","lonmin","lonsec","lonew","londd","londms","elevation","areaofsite"
"16",177,149,"CLOU1","core 4","Y","N","Y","UNKN","N",NA,NA,189,"0000-00-00",NA,NA,"Unspecified device",NA,NA,NA,149,"Plan du Clou","FRA-80000-PLAN",NA,"FRA","80","000",45,41,59,"N",45.699722,"45.41.59N",6,32,21,"E",6.539167,"  6.32.21E",1700,0.3
"17",179,151,"COLFIORI",NA,"Y","N","Y","PSWA","N","South of Colfiorito, close to road N77",NA,174,"1994-00-00",0,NA,"Russian corer",10,NA,NA,151,"Colfiorito","ITA-10000-COLF",NA,"ITA","10","000",43,1,30,"N",43.025,"43.01.30N",12,55,30,"E",12.925," 12.55.30E",752,NA
"18",183,154,"COUVERT","core 5","Y","N","Y","UNKN","N",NA,NA,189,"0000-00-00",NA,NA,"Unspecified device",NA,NA,NA,154,"Lac Couvert","FRA-80000-LACC",NA,"FRA","80","000",45,41,47,"N",45.696389,"45.41.47N",6,32,5,"E",6.534722,"  6.32.05E",1805,0.4
"19",184,155,"CPORTER",NA,"Y","N","Y","UNKN","N","Lagoons",NA,453,"1994-00-00",1360,NA,"Industrial corer",10,NA,NA,155,"Cala'n Porter","ESP-04000-CALA",NA,"ESP","04","000",39,52,14,"N",39.870556,"39.52.14N",4,7,53,"E",4.131389,"  4.07.53E",24,NA
"20",211,179,"ELMALI",NA,"Y","N","Y","UNKN","N",NA,NA,103,"0000-00-00",NA,NA,"Unspecified device",NA,NA,NA,179,"Elmali","TUR-20000-ELMA",NA,"TUR","20","000",37,40,20,"N",37.672222,"37.40.20N",29,53,30,"E",29.891667," 29.53.30E",1076,NA
"21",212,180,"EMBOU","boring II","Y","N","Y","ESTU","N","500 m at North of Méjean pond",NA,347,"1994-00-00",NA,NA,"Russian sampler",10,NA,NA,180,"Embouchac","FRA-46000-EMBO",NA,"FRA","46","000",43,33,59,"N",43.566389,"43.33.59N",3,55,0,"E",3.916667,"  3.55.00E",1,NA
"22",217,185,"ETANG",NA,"Y","N","Y","LACU","N",NA,NA,147,"1986-06-00",65,NA,"GES 10",5,NA,"Pollen nomenclature: Faegri and Iversen (1964). Samples 10-55 cm were not prepared for pollen analysis as the material had been disturbed.",185,"Le Grand Etang de Suze-La-Rousse","FRA-27000-LEGR",NA,"FRA","27","000",44,21,0,"N",44.35,"44.21.00N",5,14,0,"E",5.233333,"  5.14.00E",92,30
"23",244,205,"GALDANA",NA,"Y","N","Y","MCOA","N",NA,NA,453,"1994-00-00",NA,NA,"Unspecified device",NA,NA,NA,205,"Cala Galdana","ESP-04000-CALA",NA,"ESP","04","000",39,56,13,"N",39.936944,"39.56.13N",3,57,54,"E",3.965,"  3.57.54E",47,NA
"24",245,206,"GALINI",NA,"Y","N","Y","UNKN","N","Left bank of the Platys River",NA,103,"1971-00-00",0,NA,"Unspecified device",10,NA,"Van Zeist and Broekschoten are responsible for the sampleset collection. Sytze Bottema is responsible for the data.",206,"Aghia Galini","GRC-43000-AGHI",NA,"GRC","43","000",35,6,0,"N",35.1,"35.06.00N",24,41,0,"E",24.683333," 24.41.00E",0,NA
"25",249,210,"GHAB-1","I","Y","N","Y","UNKN","N",NA,NA,103,"0000-00-00",NA,NA,"Unspecified device",NA,NA,NA,210,"Ghab","SYR-10000-GHAB",NA,"SYR","10","000",35,41,0,"N",35.683333,"35.41.00N",36,18,0,"E",36.3," 36.18.00E",166,NA
"26",250,210,"GHAB-2","core 2","Y","N","Y","UNKN","N",NA,NA,103,"0000-00-00",NA,NA,"Unspecified device",NA,NA,NA,210,"Ghab","SYR-10000-GHAB",NA,"SYR","10","000",35,41,0,"N",35.683333,"35.41.00N",36,18,0,"E",36.3," 36.18.00E",166,NA
"27",251,210,"GHAB-3","core 3","Y","N","Y","UNKN","N",NA,NA,103,"0000-00-00",NA,NA,"Unspecified device",NA,NA,NA,210,"Ghab","SYR-10000-GHAB",NA,"SYR","10","000",35,41,0,"N",35.683333,"35.41.00N",36,18,0,"E",36.3," 36.18.00E",166,NA
"28",254,213,"GIANNITA",NA,"Y","N","Y","ESTU","N","Along road in Plain of Macedonia",NA,103,"1963-00-00",NA,NA,"Dachnowski",3.6,NA,"The diagram Giannitsa is prepared from the cores Giannitsa A (samples 40-64 in the diagram) and Giannitsa B (samples 1-39 in the diagram); Core Giannitsa A proved to be very poor in pollen from 140 - 190 cm.",213,"Giannitsa A","GRC-40000-GIAN",NA,"GRC","40","000",40,40,28,"N",40.674444,"40.40.28N",22,19,16,"E",22.321111," 22.19.16E",20,0.25
"29",255,214,"GIANNITB",NA,"Y","N","Y","ESTU","N","Along road in Plain of Macedonia",NA,103,"1965-06-00",NA,NA,"Dachnowski and Livingstone",3.6,NA,"From 50-1205 a Dagnowski (3.6-cm) was used; from 1200-1265 a Livingstone (2.8-cm) was used. The diagram Giannitsa is prepared from the cores Giannitsa A (samples 40-64 in the diagram) and Giannitsa B (samples 1-39 in the diagram); Core Giannitsa B showed no pollen from 55-310 cm; the marly clay below 1210 cm also proved to be sterile.",214,"Giannitsa B","GRC-40000-GIAN",NA,"GRC","40","000",40,40,0,"N",40.666667,"40.40.00N",22,19,0,"E",22.316667," 22.19.00E",20,0.25
"30",260,219,"GOLHISH",NA,"Y","N","Y","UNKN","N",NA,NA,103,"0000-00-00",NA,NA,"Unspecified device",NA,NA,NA,219,"Gölhisar Gölü","TUR-18000-GOLH",NA,"TUR","18","000",37,8,0,"N",37.133333,"37.08.00N",29,36,0,"E",29.6," 29.36.00E",951,NA
"31",263,222,"GRAMIGNE",NA,"Y","N","Y","UNKN","N",NA,NA,35,"1969-00-00",NA,NA,"Unspecified device",10,NA,"Cores taken for engineering purposes mainly but some were selected from continuous cores taken for geologic assays. Pollen nomenclature: Faegri and Iversen (1975).",222,"Venice","ITA-20000-VENI",NA,"ITA","20","000",45,30,0,"N",45.5,"45.30.00N",12,15,0,"E",12.25," 12.15.00E",22,NA
"32",267,226,"HALOS",NA,"Y","N","Y","UNKN","N","Pagasitic Gulf, 7 km NW of Sourpi",NA,103,"1979-00-00",NA,NA,"Unspecified device",NA,NA,NA,226,"Halos I","GRC-38000-HALO",NA,"GRC","38","000",39,10,0,"N",39.166667,"39.10.00N",22,50,0,"E",22.833333," 22.50.00E",0,NA
"33",324,273,"KASTORIA",NA,"Y","N","Y","PMSH","N","NE side of lake",NA,103,"1965-06-00",NA,NA,"Dachnowski",3.6,NA,NA,273,"Kastoria","GRC-25000-KAST",NA,"GRC","25","000",40,33,7,"N",40.551944,"40.33.07N",21,19,20,"E",21.322222," 21.19.20E",650,0.1
"34",284,240,"HTIMONER",NA,"Y","N","Y","MCOA","N","Marshlands",NA,453,"1994-00-00",900,NA,"Industrial corer",NA,NA,NA,240,"Hort Timoner","ESP-04000-HORT",NA,"ESP","04","000",39,52,30,"N",39.875,"39.52.30N",4,7,35,"E",4.126389,"  4.07.35E",40,NA
"35",286,242,"HULEH",NA,"Y","N","Y","UNKN","N",NA,NA,103,"0000-00-00",NA,NA,"Unspecified device",NA,NA,NA,242,"Huleh","ISR-04000-HULE",NA,"ISR","04","000",33,6,20,"N",33.105556,"33.06.20N",35,31,42,"E",35.528333," 35.31.42E",466,NA
"36",294,249,"IOAN249","core 249","Y","N","Y","UNKN","N","Southeast of Lake Pamvotis near Kastrits",NA,415,"0000-00-00",NA,NA,"Unspecified device",NA,NA,NA,249,"Ioannina","GRC-22000-IOAN",NA,"GRC","22","000",39,39,0,"N",39.65,"39.39.00N",20,55,0,"E",20.916667," 20.55.00E",470,22.8
"37",295,250,"IOAN-II",NA,"Y","N","Y","PMSH","N","North side of lake Ioannina",NA,103,"1965-06-00",NA,NA,"Dachnowski",3.6,NA,NA,250,"Ioannina II","GRC-22000-IOAN",NA,"GRC","22","000",39,41,31,"N",39.691944,"39.41.31N",20,50,23,"E",20.839722," 20.50.23E",470,5
"38",296,251,"IOANNINA",NA,"Y","N","Y","PMSH","N","2 km north of Kato Lapsisto",NA,103,"1965-08-00",NA,NA,"Dachnowski",3.6,NA,NA,251,"Ioannina I","GRC-22000-IOAN",NA,"GRC","22","000",39,45,45,"N",39.7625,"39.45.45N",20,43,50,"E",20.730556," 20.43.50E",470,2000
"39",314,263,"JEU1","core 6","Y","N","Y","UNKN","N",NA,NA,189,"0000-00-00",NA,NA,"Unspecified device",NA,NA,NA,263,"Plan du Jeu","FRA-80000-PLAN",NA,"FRA","80","000",45,36,26,"N",45.607222,"45.36.26N",6,31,56,"E",6.532222,"  6.31.56E",2010,0.2
"40",319,268,"KARAMIK",NA,"Y","N","Y","PMSH","N","SW Turkey, 2.5km SE of village Bulanik",NA,103,"1970-06-00",0,NA,"Dachnowski",3.6,NA,NA,268,"Kararmik Batakligi","TUR-03000-KARA",NA,"TUR","03","000",38,25,30,"N",38.425,"38.25.30N",30,48,0,"E",30.8," 30.48.00E",1000,4000
"41",328,277,"KHIM-1A",NA,"Y","N","Y","PMSH","N","1 km north of Lake Khimaditis",NA,103,"1965-07-00",NA,NA,"Dachnowski",3.6,NA,"Khimaditis Ia is published as the upper part of the diagram called Khimaditis I (together with Khimaditis Ib). In the P_sample table the original depths are given (the depthscale as published in the diagram is modified (see publication)).",277,"Khimaditis Ia","GRC-16000-KHIM",NA,"GRC","16","000",40,37,21,"N",40.6225,"40.37.21N",21,35,21,"E",21.589167," 21.35.21E",560,600
"42",329,278,"KHIMADIT",NA,"Y","N","Y","PMSH","N","900 m north of Lake Khimaditis",NA,103,"1965-07-00",NA,NA,"Dachnowski",3.6,NA,NA,278,"Khimaditis Ib","GRC-16000-KHIM",NA,"GRC","16","000",40,37,0,"N",40.616667,"40.37.00N",21,35,0,"E",21.583333," 21.35.00E",560,600
"43",330,279,"KHIMAIII",NA,"Y","N","Y","LNUN","N","NE part of lake",NA,103,"1965-06-00",100,NA,"Livingstone",3.6,NA,NA,279,"Khimaditis III","GRC-16000-KHIM",NA,"GRC","16","000",40,36,45,"N",40.6125,"40.36.45N",21,35,10,"E",21.586111," 21.35.10E",560,500
"44",331,280,"KHIMIV",NA,"Y","N","Y","PMSH","N","4.5 km NE of Lake Khimaditis",NA,103,"1963-09-00",NA,NA,"Dachnowski",3.6,NA,NA,280,"Khimaditis IV","GRC-16000-KHIM",NA,"GRC","16","000",40,38,30,"N",40.641667,"40.38.30N",21,37,11,"E",21.619722," 21.37.11E",560,600
"45",343,290,"KOYCEGIZ",NA,"Y","N","Y","LNAT","N","On peaty fringe of SE bank of the lake",NA,103,"1974-06-00",75,NA,"Dachnowski",3.6,NA,NA,290,"Köycegiz Gölü","TUR-59000-KOYC",NA,"TUR","59","000",36,52,30,"N",36.875,"36.52.30N",28,38,30,"E",28.641667," 28.38.30E",20,25
"46",352,299,"KUPENA",NA,"Y","N","Y","PSWA","N","East side of mire",NA,NA,"1986-00-00",NA,NA,"Russian peat corer",5,NA,NA,299,"Kupena","BGR-10000-KUPE",NA,"BGR","10","000",41,59,0,"N",41.983333,"41.59.00N",24,20,0,"E",24.333333," 24.20.00E",1356,8
"47",353,299,"KUPENA1",NA,"Y","N","Y","UNKN","N",NA,NA,172,"1984-09-00",NA,NA,"Dachnowski coring equipment",2.5,NA,NA,299,"Kupena","BGR-10000-KUPE",NA,"BGR","10","000",41,59,0,"N",41.983333,"41.59.00N",24,20,0,"E",24.333333," 24.20.00E",1356,8
"48",357,302,"LACOTE",NA,"Y","N","Y","RFLU","N",NA,NA,88,"1984-00-00",NA,NA,"Percussion corer",NA,NA,NA,302,"La Cote-Vercors","FRA-50000-LACO",NA,"FRA","50","000",45,6,0,"N",45.1,"45.06.00N",5,33,0,"E",5.55,"  5.33.00E",1116,NA
"49",361,306,"LAGUNA",NA,"Y","N","Y","LNAT","N","Just west of Sierra de Gibalto",NA,28,"1981-07-00",1050,NA,"Livingstone",3,NA,"Data are unpublished.",306,"Laguna Grande","ESP-01000-LAGU",NA,"ESP","01","000",37,6,30,"N",37.108333,"37.06.30N",4,19,0,"W",-4.316667,"  4.19.00W",800,4
"50",362,307,"LAIT3","core 3","Y","N","Y","UNKN","N",NA,NA,189,"0000-00-00",NA,NA,"Unspecified device",NA,NA,NA,307,"Lac du Lait","FRA-80000-LACD",NA,"FRA","80","000",45,18,55,"N",45.315278,"45.18.55N",6,49,0,"E",6.816667,"  6.49.00E",2190,0.26
"51",368,313,"LAUZE775","core 2","Y","N","Y","UNKN","N",NA,NA,88,"0000-00-00",NA,NA,"Unspecified device",NA,NA,NA,313,"Col des Lauzes","FRA-80000-COLD",NA,"FRA","80","000",44,46,3,"N",46.043833,"44.46.03N",6,32,13,"E",6.536667,"  6.32.13E",1832,NA
"52",378,320,"LEMPS81","core LI","Y","N","Y","UNKN","N",NA,NA,183,"1981-00-00",NA,NA,"Unspecified device",NA,NA,NA,320,"Le Grand Lemps","FRA-50000-LEGR",NA,"FRA","50","000",45,28,24,"N",45.473333,"45.28.24N",5,25,0,"E",5.416667,"  5.25.00E",680,80
"53",379,320,"LEMPS83","core LII","Y","N","Y","UNKN","N",NA,NA,183,"1983-00-00",NA,NA,"Unspecified device",NA,NA,NA,320,"Le Grand Lemps","FRA-50000-LEGR",NA,"FRA","50","000",45,28,24,"N",45.473333,"45.28.24N",5,25,0,"E",5.416667,"  5.25.00E",680,80
"54",380,320,"LEMPS85","core LIII","Y","N","Y","UNKN","N",NA,NA,183,"1985-00-00",NA,NA,"Unspecified device",NA,NA,NA,320,"Le Grand Lemps","FRA-50000-LEGR",NA,"FRA","50","000",45,28,24,"N",45.473333,"45.28.24N",5,25,0,"E",5.416667,"  5.25.00E",680,80
"55",381,320,"LEMPS86","core LIV","Y","N","Y","UNKN","N",NA,NA,183,"1986-00-00",NA,NA,"Unspecified device",NA,NA,NA,320,"Le Grand Lemps","FRA-50000-LEGR",NA,"FRA","50","000",45,28,24,"N",45.473333,"45.28.24N",5,25,0,"E",5.416667,"  5.25.00E",680,80
"56",383,322,"LIGNIN1","core 1","Y","N","Y","LACU","N","in the peat located in the border of the lake","peat",317,"0000-00-00",NA,NA,"russian sampler",NA,NA,NA,322,"Lignin Lake","FRA-04000-LIGN",NA,"FRA","04","000",44,6,15,"N",44.104167,"44.06.15N",6,42,31,"E",6.708611,"  6.42.31E",2273,2.4
"57",384,322,"LIGNIN2","core 2","Y","N","Y","LACU","N","in the lake","peat",317,"0000-00-00",NA,NA,"russian sampler",NA,NA,NA,322,"Lignin Lake","FRA-04000-LIGN",NA,"FRA","04","000",44,6,15,"N",44.104167,"44.06.15N",6,42,31,"E",6.708611,"  6.42.31E",2273,2.4
"58",393,331,"LLONG1","LLID26","Y","N","Y","PFEN","N","400 m NE the CAF refuge",NA,88,"1974-07-00",0,NA,"Smith corer",8,NA,NA,331,"Lac Long Inférieur","FRA-05000-LACL",NA,"FRA","05","000",44,3,28,"N",44.057778,"44.03.28N",7,27,0,"E",7.45,"  7.27.00E",2114,1.5
"59",427,357,"MALESH",NA,"Y","N","Y","UNKN","N","Central part of the peat bog",NA,411,"1982-07-00",205,NA,"Dachnowski hand sampler",2,NA,NA,357,"Maleshevska Mountains Peat Bog","BGR-01000-MALE",NA,"BGR","01","000",41,42,0,"N",41.7,"41.42.00N",23,2,0,"E",23.033333," 23.02.00E",1720,0.5
"60",434,363,"MARTIGAN",NA,"Y","N","Y","UNKN","N",NA,NA,78,"1988-09-00",NA,NA,"Mackereth (Mackereth 1958)",7.5,NA,"Faegri and Iversen (1964), Moore and Webb (1978), Beug (1960) and Andersen (1979).",363,"Lago di Martignano","ITA-07000-LAGO",NA,"ITA","07","000",42,7,0,"N",42.116667,"42.07.00N",12,20,0,"E",12.333333," 12.20.00E",204,1.5
"61",451,380,"MONALSUP","core 1","Y","N","Y","UNKN","N",NA,NA,189,"0000-00-00",NA,NA,"Unspecified device",NA,NA,NA,380,"Le Monal","FRA-80000-LEMO",NA,"FRA","80","000",45,33,25,"N",45.556944,"45.33.25N",6,55,43,"E",6.928611,"  6.55.43E",1975,0.5
"62",452,381,"MONT2","core 2","Y","N","Y","UNKN","N",NA,NA,189,"0000-00-00",NA,NA,"Unspecified device",NA,NA,NA,381,"Le Mont","FRA-80000-LEMO","N1994","FRA","80","000",45,33,5,"N",45.551389,"45.33.05N",6,32,56,"E",6.548889,"  6.32.56E",1995,0.4
"63",453,382,"MONT82","boring 1","Y","N","Y","PSWA","N",NA,NA,28,"1982-00-00",NA,NA,"Livingstone",5,NA,NA,382,"Lago Grande di Monticchio","ITA-02000-LAGO",NA,"ITA","02","000",40,56,40,"N",40.944444,"40.56.40N",15,36,0,"E",15.6," 15.36.00E",1326,NA
"64",454,382,"MONTLONG","long core","Y","N","Y","UNKN","N",NA,NA,28,"0000-00-00",NA,NA,"Unspecified device",NA,NA,NA,382,"Lago Grande di Monticchio","ITA-02000-LAGO",NA,"ITA","02","000",40,56,40,"N",40.944444,"40.56.40N",15,36,0,"E",15.6," 15.36.00E",1326,NA
"65",455,382,"MONTWAW1","Mackereth","Y","N","Y","UNKN","N",NA,NA,28,"0000-00-00",NA,NA,"Unspecified device",NA,NA,NA,382,"Lago Grande di Monticchio","ITA-02000-LAGO",NA,"ITA","02","000",40,56,40,"N",40.944444,"40.56.40N",15,36,0,"E",15.6," 15.36.00E",1326,NA
"66",460,387,"MOUSSOUS",NA,"Y","N","Y","UNKN","N",NA,NA,88,"0000-00-00",NA,NA,"Unspecified device",NA,NA,NA,387,"Moussous","FRA-06000-MOUS",NA,"FRA","06","000",44,38,10,"N",44.636111,"44.38.10N",3,59,28,"E",3.991111,"  3.59.28E",1300,NA
"67",461,388,"MOUTON2","core 2","Y","N","Y","UNKN","N",NA,NA,88,"0000-00-00",NA,NA,"Unspecified device",NA,NA,NA,388,"Lac Mouton","FRA-05000-LACM",NA,"FRA","05","000",44,3,28,"N",44.057778,"44.03.28N",7,26,41,"E",7.444722,"  7.26.41E",2175,NA
"68",469,396,"NAVA1","core 1","Y","N","Y","PMIR","N","Center of valley",NA,201,"1993-06-15",NA,NA,"Unspecified device",20,NA,NA,396,"Navarrés","ESP-11000-NAVA",NA,"ESP","11","000",39,6,0,"N",39.1,"39.06.00N",0,41,0,"W",-0.683333,"  0.41.00W",225,1.5
"69",470,396,"NAVA2","core 2","Y","N","Y","PMIR","N","Center of valley",NA,201,"1993-06-15",NA,NA,"Unspecified device",20,NA,NA,396,"Navarrés","ESP-11000-NAVA",NA,"ESP","11","000",39,6,0,"N",39.1,"39.06.00N",0,41,0,"W",-0.683333,"  0.41.00W",225,1.5
"70",471,396,"NAVARRE3",NA,"Y","N","Y","UNKN","N","Center of valley",NA,178,"1997-00-00",NA,NA,"Unspecified device",NA,NA,NA,396,"Navarrés","ESP-11000-NAVA",NA,"ESP","11","000",39,6,0,"N",39.1,"39.06.00N",0,41,0,"W",-0.683333,"  0.41.00W",225,1.5
"71",497,417,"OSPITALE",NA,"Y","N","Y","UNKN","N",NA,NA,442,"1994-00-00",NA,NA,"Russian corer",NA,NA,NA,417,"Ospitale","ITA-05000-OSPI",NA,"ITA","05","000",44,9,20,"N",44.155556,"44.09.20N",10,46,48,"E",10.78," 10.46.48E",1225,1
"72",500,420,"OVAGOLU",NA,"Y","N","Y","PMSH","N",NA,"Cladium mariscus",103,"1977-06-00",NA,NA,"coring expedition",NA,NA,"data include additonal pollen samples to those included in the published pollen diagram",420,"Ova Gölü","TUR-08000-OVAG",NA,"TUR","08","000",36,16,0,"N",36.266667,"36.16.00N",29,18,0,"E",29.3," 29.18.00E",20,NA
"73",504,424,"PADULE",NA,"Y","N","Y","UNKN","N",NA,NA,442,"0000-00-00",NA,NA,"Russian corer",NA,NA,NA,424,"Lago Padule","ITA-16000-LAGO",NA,"ITA","16","000",44,17,55,"N",44.298611,"44.17.55N",10,12,53,"E",10.214722," 10.12.53E",1187,3
"74",513,431,"PELL79C2",NA,"Y","N","Y","UNKN","N",NA,NA,88,"0000-00-00",NA,NA,"Unspecified device",NA,NA,NA,431,"Pelléautier","FRA-43000-PELL","N1978","FRA","43","000",44,31,20,"N",44.522222,"44.31.20N",6,11,0,"E",6.183333,"  6.11.00E",975,16
"75",514,432,"PERLE",NA,"Y","N","Y","UNKN","N",NA,NA,88,"0000-00-00",NA,NA,"Unspecified device",NA,NA,NA,432,"Lac de Perle","ITA-08000-LACD",NA,"ITA","08","000",44,8,30,"N",44.141667,"44.08.30N",7,36,0,"E",7.6,"  7.36.00E",2080,1
"76",525,442,"PLAN","core 2","Y","N","Y","UNKN","N",NA,NA,189,"0000-00-00",NA,NA,"Unspecified device",NA,NA,NA,442,"Plan du Lac","FRA-80000-PLAN",NA,"FRA","80","000",45,18,55,"N",45.315278,"45.18.55N",6,49,0,"E",6.816667,"  6.49.00E",2360,1.17
"77",527,444,"POPOVO",NA,"Y","N","Y","UNKN","N",NA,NA,172,"1986-00-00",250,NA,"Dachnowski hand-corer",2,NA,NA,444,"Popovo Ezero","BGR-01000-POPO",NA,"BGR","01","000",41,43,0,"N",41.716667,"41.43.00N",23,40,0,"E",23.666667," 23.40.00E",2185,NA
"78",538,455,"QUINTA01","core 3","Y","N","Y","UNKN","N",NA,NA,337,"0000-00-00",NA,NA,"Russian corer",5.5,NA,NA,455,"Quintanar de la Sierra","ESP-06000-QUIN",NA,"ESP","06","000",42,2,0,"N",42.033333,"42.02.00N",3,1,0,"W",-3.016667,"  3.01.00W",1470,NA
"79",539,455,"QUINTA02","core 4","Y","N","Y","UNKN","N",NA,NA,337,"0000-00-00",NA,NA,"Russian corer",5.5,NA,NA,455,"Quintanar de la Sierra","ESP-06000-QUIN",NA,"ESP","06","000",42,2,0,"N",42.033333,"42.02.00N",3,1,0,"W",-3.016667,"  3.01.00W",1470,NA
"80",544,460,"RATZ81","core RIII (D1)","Y","N","Y","LACU","N","border of the lake","Sphagnum",183,"1981-00-00",NA,NA,"Russian corer",NA,NA,NA,460,"Saint Julien de Ratz","FRA-50000-SAIN",NA,"FRA","50","000",45,20,54,"N",45.348333,"45.20.54N",5,39,19,"E",5.655278,"  5.39.19E",673,6
"81",545,460,"RATZ83","core RII","Y","N","Y","LACU","N",NA,"Sphagnum",183,"1983-00-00",NA,NA,"Russian corer",NA,NA,NA,460,"Saint Julien de Ratz","FRA-50000-SAIN",NA,"FRA","50","000",45,20,54,"N",45.348333,"45.20.54N",5,39,19,"E",5.655278,"  5.39.19E",673,6
